date,course,hole,par,strokes,gir,putts,fairway_hit
2024-04-01,LAGK,1,4,5,0,2,1
2024-04-01,LAGK,2,3,5,0,3,0
2024-04-01,LAGK,3,4,4,0,2,0
2024-04-01,LAGK,4,5,6,1,2,1
2024-04-01,LAGK,5,4,5,0,2,1
2024-04-01,LAGK,6,3,4,0,2,0
2024-04-01,LAGK,7,4,5,1,2,1
2024-04-01,LAGK,8,4,6,0,3,0
2024-04-01,LAGK,9,5,6,0,2,0
2024-04-01,LAGK,10,4,5,0,2,1
2024-04-01,LAGK,11,3,5,0,3,0
2024-04-01,LAGK,12,4,5,0,2,1
2024-04-01,LAGK,13,5,6,1,2,1
2024-04-01,LAGK,14,4,5,0,2,1
2024-04-01,LAGK,15,3,4,0,2,0
2024-04-01,LAGK,16,4,5,1,2,1
2024-04-01,LAGK,17,4,5,0,2,0
2024-04-01,LAGK,18,5,6,0,2,1
2024-04-20,Arlandastad,1,4,6,0,2,0
2024-04-20,Arlandastad,2,3,4,0,2,0
2024-04-20,Arlandastad,3,4,6,0,3,0
2024-04-20,Arlandastad,4,5,6,0,3,0
2024-04-20,Arlandastad,5,4,5,1,2,1
2024-04-20,Arlandastad,6,3,5,0,2,0
2024-04-20,Arlandastad,7,4,6,0,3,1
2024-04-20,Arlandastad,8,4,5,0,2,0
2024-04-20,Arlandastad,9,5,6,1,2,1
2024-04-20,Arlandastad,10,4,6,0,3,0
2024-04-20,Arlandastad,11,3,5,0,2,0
2024-04-20,Arlandastad,12,4,6,0,3,0
2024-04-20,Arlandastad,13,5,6,0,3,1
2024-04-20,Arlandastad,14,4,5,0,2,1
2024-04-20,Arlandastad,15,3,5,0,3,0
2024-04-20,Arlandastad,16,4,6,0,3,0
2024-04-20,Arlandastad,17,4,5,0,2,1
2024-04-20,Arlandastad,18,5,6,0,2,0
2024-05-08,Bro Hof,1,4,5,0,2,1
2024-05-08,Bro Hof,2,3,5,0,3,0
2024-05-08,Bro Hof,3,4,5,0,2,0
2024-05-08,Bro Hof,4,5,6,0,2,1
2024-05-08,Bro Hof,5,4,6,0,3,0
2024-05-08,Bro Hof,6,3,4,0,2,0
2024-05-08,Bro Hof,7,4,5,1,2,1
2024-05-08,Bro Hof,8,4,6,0,3,0
2024-05-08,Bro Hof,9,5,6,0,2,0
2024-05-08,Bro Hof,10,4,5,0,2,1
2024-05-08,Bro Hof,11,3,5,0,3,0
2024-05-08,Bro Hof,12,4,5,0,2,1
2024-05-08,Bro Hof,13,5,6,1,2,1
2024-05-08,Bro Hof,14,4,5,0,2,0
2024-05-08,Bro Hof,15,3,4,0,2,0
2024-05-08,Bro Hof,16,4,5,0,2,0
2024-05-08,Bro Hof,17,4,6,0,2,1
2024-05-08,Bro Hof,18,5,6,1,2,1
2024-05-22,LAGK,1,4,5,0,2,1
2024-05-22,LAGK,2,3,3,1,1,0
2024-05-22,LAGK,3,4,5,0,3,1
2024-05-22,LAGK,4,5,6,1,2,1
2024-05-22,LAGK,5,4,5,0,3,1
2024-05-22,LAGK,6,3,4,0,2,0
2024-05-22,LAGK,7,4,4,1,1,1
2024-05-22,LAGK,8,4,5,0,2,1
2024-05-22,LAGK,9,5,6,1,2,1
2024-05-22,LAGK,10,4,5,0,2,1
2024-05-22,LAGK,11,3,4,0,2,0
2024-05-22,LAGK,12,4,6,0,2,0
2024-05-22,LAGK,13,5,5,1,2,1
2024-05-22,LAGK,14,4,5,0,3,1
2024-05-22,LAGK,15,3,4,0,2,0
2024-05-22,LAGK,16,4,4,1,1,1
2024-05-22,LAGK,17,4,6,0,2,0
2024-05-22,LAGK,18,5,6,0,2,1
2024-06-05,Arlandastad,1,4,6,0,2,0
2024-06-05,Arlandastad,2,3,5,0,2,0
2024-06-05,Arlandastad,3,4,5,0,2,1
2024-06-05,Arlandastad,4,5,7,0,3,0
2024-06-05,Arlandastad,5,4,5,1,2,1
2024-06-05,Arlandastad,6,3,5,0,2,0
2024-06-05,Arlandastad,7,4,5,0,2,1
2024-06-05,Arlandastad,8,4,6,0,2,0
2024-06-05,Arlandastad,9,5,6,0,2,1
2024-06-05,Arlandastad,10,4,5,0,2,1
2024-06-05,Arlandastad,11,3,5,0,2,0
2024-06-05,Arlandastad,12,4,5,0,3,1
2024-06-05,Arlandastad,13,5,6,1,2,1
2024-06-05,Arlandastad,14,4,5,0,2,0
2024-06-05,Arlandastad,15,3,5,0,2,0
2024-06-05,Arlandastad,16,4,5,1,2,1
2024-06-05,Arlandastad,17,4,5,0,2,0
2024-06-05,Arlandastad,18,5,6,0,2,1
2024-06-19,Bro Hof,1,4,5,0,2,1
2024-06-19,Bro Hof,2,3,4,0,2,0
2024-06-19,Bro Hof,3,4,6,0,3,1
2024-06-19,Bro Hof,4,5,6,1,2,1
2024-06-19,Bro Hof,5,4,5,0,2,0
2024-06-19,Bro Hof,6,3,4,0,2,0
2024-06-19,Bro Hof,7,4,4,1,1,1
2024-06-19,Bro Hof,8,4,6,0,2,0
2024-06-19,Bro Hof,9,5,6,1,2,1
2024-06-19,Bro Hof,10,4,5,0,2,0
2024-06-19,Bro Hof,11,3,4,0,2,0
2024-06-19,Bro Hof,12,4,5,0,3,1
2024-06-19,Bro Hof,13,5,5,1,2,1
2024-06-19,Bro Hof,14,4,6,0,2,0
2024-06-19,Bro Hof,15,3,4,0,2,0
2024-06-19,Bro Hof,16,4,4,1,1,1
2024-06-19,Bro Hof,17,4,5,0,2,0
2024-06-19,Bro Hof,18,5,6,0,2,1
